Question,Answer
"What is the process for submitting an IRB application?","The IRB application process involves submitting a complete protocol, informed consent documents, and any other required materials through the IRB submission system. The application is then reviewed by the IRB committee for compliance with ethical guidelines and regulatory requirements."
"How long does IRB review typically take?","IRB review typically takes 4-6 weeks for expedited review and 8-12 weeks for full board review, depending on the complexity of the study and the completeness of the submission materials."
"What are the key elements of informed consent?","Informed consent must include: study purpose, procedures, risks/benefits, confidentiality, voluntary participation, right to withdraw, and contact information. It must be written in language understandable to participants."
"What are the requirements for exempt research?","Exempt research must meet specific criteria outlined in the Common Rule, including minimal risk, no vulnerable populations, and specific research categories. Examples include educational research and anonymous surveys."
"How do I handle protocol deviations?","Protocol deviations must be reported to the IRB promptly. Minor deviations may be reported at the time of continuing review, while major deviations require immediate reporting and may require protocol modification."
"What is the difference between expedited and full board review?","Expedited review is for minimal risk research and can be conducted by one or more IRB members. Full board review is required for research involving greater than minimal risk and requires a convened meeting of the IRB committee."
"What are the requirements for continuing review?","Continuing review is required at least annually for all non-exempt research. The submission should include: progress report, adverse events, protocol deviations, and any modifications to the study."
"How do I modify an approved protocol?","Protocol modifications must be submitted to the IRB for review and approval before implementation. The submission should include: description of changes, rationale, and any updated documents (consent forms, protocols, etc.)."
"What are the requirements for reporting adverse events?","Adverse events must be reported to the IRB promptly. Serious adverse events require immediate reporting, while non-serious events may be reported at the time of continuing review."
"How do I close out a study?","Study closure requires submission of a final report to the IRB, including: summary of research activities, final participant count, and any remaining issues or concerns." 
